scene,operator,contrast_loss,clipping,entropy,DR,log_std,highlight_ratio,shadow_ratio,skew,kurtosis
Mason Lake (2),reinhard_local,0.48136961460113525,0.2413809448480606,6.694753646850586,1.965225100517273,0.5633346438407898,0.04217112436890602,0.0006033378303982317,1.272504210472107,5.292610168457031
McKee's Pub,reinhard,0.016630351543426514,0.00018433739023748785,3.5381877422332764,2.6104917526245117,0.5677072405815125,0.06858412176370621,0.00030444597359746695,5.10758113861084,85.68316650390625
McKee's Pub,drago,0.007239162921905518,0.00018611634732224047,3.217378616333008,2.6104917526245117,0.5677072405815125,0.06858412176370621,0.00030444597359746695,5.10758113861084,85.68316650390625
McKee's Pub,filmic,0.002621591091156006,0.0001124784248531796,1.9442912340164185,2.6104917526245117,0.5677072405815125,0.06858412176370621,0.00030444597359746695,5.10758113861084,85.68316650390625
McKee's Pub,gamma,0.3096133768558502,0.00033126285416074097,5.8407487869262695,2.6104917526245117,0.5677072405815125,0.06858412176370621,0.00030444597359746695,5.10758113861084,85.68316650390625
McKee's Pub,reinhard_local,0.01656210422515869,0.00019094109302386642,3.538372039794922,2.6104917526245117,0.5677072405815125,0.06858412176370621,0.00030444597359746695,5.10758113861084,85.68316650390625
Middle Pond,reinhard,0.39524543285369873,0.2450551837682724,6.507594585418701,1.8348422050476074,0.4752275049686432,0.035599980503320694,0.0005767433904111385,1.084244966506958,2.8761038780212402
Middle Pond,drago,0.25668343901634216,0.07618751376867294,7.277781963348389,1.8348422050476074,0.4752275049686432,0.035599980503320694,0.0005767433904111385,1.084244966506958,2.8761038780212402
Middle Pond,filmic,0.3030243515968323,1.078154099332096e-07,7.207645893096924,1.8348422050476074,0.4752275049686432,0.035599980503320694,0.0005767433904111385,1.084244966506958,2.8761038780212402
Middle Pond,gamma,0.4670368731021881,0.9504152536392212,0.7682130336761475,1.8348422050476074,0.4752275049686432,0.035599980503320694,0.0005767433904111385,1.084244966506958,2.8761038780212402
Middle Pond,reinhard_local,0.3747585117816925,0.25759389996528625,6.932882785797119,1.8348422050476074,0.4752275049686432,0.035599980503320694,0.0005767433904111385,1.084244966506958,2.8761038780212402
Mirror Lake,reinhard,0.27934929728507996,0.1539173573255539,6.975306510925293,1.9287917613983154,0.371076375246048,0.05507819727063179,0.0009135626023635268,2.0989389419555664,7.785998821258545
Mirror Lake,drago,0.16643285751342773,0.006206232123076916,7.1665496826171875,1.9287917613983154,0.371076375246048,0.05507819727063179,0.0009135626023635268,2.0989389419555664,7.785998821258545
Mirror Lake,filmic,0.18782170116901398,0.0,7.365935325622559,1.9287917613983154,0.371076375246048,0.05507819727063179,0.0009135626023635268,2.0989389419555664,7.785998821258545
