scene,operator,exposure_sensitivity_index
C:\hdr_perceptual\data\hdr_exr\Frontier.exr,reinhard_local,0.8837655782699585
C:\hdr_perceptual\data\hdr_exr\General Grant.exr,reinhard,0.5193654894828796
C:\hdr_perceptual\data\hdr_exr\General Grant.exr,drago,0.6446757316589355
C:\hdr_perceptual\data\hdr_exr\General Grant.exr,filmic,0.9379165768623352
C:\hdr_perceptual\data\hdr_exr\General Grant.exr,gamma,1.070038914680481
C:\hdr_perceptual\data\hdr_exr\General Grant.exr,reinhard_local,0.5580312013626099
C:\hdr_perceptual\data\hdr_exr\General Sherman.exr,reinhard,0.40910032391548157
C:\hdr_perceptual\data\hdr_exr\General Sherman.exr,drago,0.24913297593593597
C:\hdr_perceptual\data\hdr_exr\General Sherman.exr,filmic,0.24304765462875366
C:\hdr_perceptual\data\hdr_exr\General Sherman.exr,gamma,2.031080484390259
C:\hdr_perceptual\data\hdr_exr\General Sherman.exr,reinhard_local,0.20888946950435638
C:\hdr_perceptual\data\hdr_exr\Golden Gate (1).exr,reinhard,0.6806027889251709
C:\hdr_perceptual\data\hdr_exr\Golden Gate (1).exr,drago,0.04008062928915024
C:\hdr_perceptual\data\hdr_exr\Golden Gate (1).exr,filmic,0.5030891299247742
C:\hdr_perceptual\data\hdr_exr\Golden Gate (1).exr,gamma,1.3543953895568848
C:\hdr_perceptual\data\hdr_exr\Golden Gate (1).exr,reinhard_local,0.5136330127716064
C:\hdr_perceptual\data\hdr_exr\Golden Gate (2).exr,reinhard,1.3830760717391968
C:\hdr_perceptual\data\hdr_exr\Golden Gate (2).exr,drago,0.3824249505996704
C:\hdr_perceptual\data\hdr_exr\Golden Gate (2).exr,filmic,1.356007695198059
C:\hdr_perceptual\data\hdr_exr\Golden Gate (2).exr,gamma,0.7137348651885986
C:\hdr_perceptual\data\hdr_exr\Golden Gate (2).exr,reinhard_local,1.3835622072219849
C:\hdr_perceptual\data\hdr_exr\HDR Mark.exr,reinhard,1.1304211616516113
C:\hdr_perceptual\data\hdr_exr\HDR Mark.exr,drago,0.8199142813682556
C:\hdr_perceptual\data\hdr_exr\HDR Mark.exr,filmic,1.2421683073043823
C:\hdr_perceptual\data\hdr_exr\HDR Mark.exr,gamma,0.33007991313934326
C:\hdr_perceptual\data\hdr_exr\HDR Mark.exr,reinhard_local,1.1324098110198975
C:\hdr_perceptual\data\hdr_exr\Half Dome Sunset.exr,reinhard,0.655194878578186
C:\hdr_perceptual\data\hdr_exr\Half Dome Sunset.exr,drago,0.6882373690605164
C:\hdr_perceptual\data\hdr_exr\Half Dome Sunset.exr,filmic,1.052671194076538
C:\hdr_perceptual\data\hdr_exr\Half Dome Sunset.exr,gamma,0.9476180672645569
C:\hdr_perceptual\data\hdr_exr\Half Dome Sunset.exr,reinhard_local,0.6666380167007446
